Problem	Run1	Run2	Run3	Run4	Run5	Run6	Run7	Run8	Run9	Run10
0	104.622443	98.701355	107.954159	96.49474	98.494873	99.474423	99.224115	97.742927	103.592993	103.592868
1	192.161952	188.455594	194.092733	177.344564	184.75863	179.261404	182.854667	178.447038	179.130041	184.458965
2	186.708006	187.614541	179.574091	187.659999	178.141732	185.870761	191.063107	191.285401	187.21042	182.442703
3	150.985875	177.980873	162.101392	161.634305	174.263308	164.254945	162.769114	155.593195	161.042948	163.016463
