Problem	Run1	Run2	Run3	Run4	Run5	Run6	Run7	Run8	Run9	Run10
0	99.742418	102.021243	99.292652	103.008937	103.991534	99.500256	109.975189	103.458819	96.137634	98.900468
1	184.439515	184.728821	180.629988	184.527124	185.697993	183.626869	179.110427	183.62564	183.760316	179.189864
2	178.559357	181.702039	176.045031	199.530466	186.480844	185.212709	192.555366	183.974963	185.577813	191.834342
3	160.829026	152.723392	158.502772	157.160536	159.730019	170.721821	159.907647	164.084581	164.13401	163.157711
